$10 Raise,"['Edward Everett Horton', ' Karen Morley']"
"1,000 Dollars a Minute","['Leila Hyams', ' Edward Brophy']"
Accent on Youth,"['Sylvia Sidney', ' Herbert Marshall']"
The Affair of Susan,"['ZaSu Pitts', "" Hugh O'Connell""]"
After Office Hours,"['Constance Bennett', ' Clark Gable', ' Billie Burke']"
After the Dance,"['Nancy Carroll', ' George Murphy', ' Thelma Todd']"
Age of Indiscretion,"['Paul Lukas', ' Madge Evans', ' Helen Vinson']"
"Ah, Wilderness!","['Wallace Beery', ' Lionel Barrymore', ' Mickey Rooney']"
Air Hawks,"['Ralph Bellamy', ' Tala Birell', ' Douglass Dumbrille']"
Alias Mary Dow,"['Sally Eilers', ' Ray Milland']"
Alibi Ike,"['Joe E. Brown', ' Olivia de Havilland']"
Alice Adams,"['Katharine Hepburn', ' Fred MacMurray', ' Evelyn Venable']"
All the King's Horses,"['Carl Brisson', ' Mary Ellis', ' Edward Everett Horton']"
Anna Karenina,"['Greta Garbo', ' Fredric March', "" Maureen O'Sullivan""]"
Annapolis Farewell,"['Guy Standing', ' Richard Cromwell']"
Annie Oakley,"['Barbara Stanwyck', ' Melvyn Douglas', ' Preston Foster']"
Another Face,"['Wallace Ford', ' Brian Donlevy', ' Phyllis Brooks']"
The Arizonian,"['Richard Dix', ' Margot Grahame', ' Preston Foster', ' Louis Calhern']"
Atlantic Adventure,"['Nancy Carroll', ' Lloyd Nolan']"
The Awakening of Jim Burke,"[' Jack Holt', ' Florence Rice']"
Baby Face Harrington,"['Charles Butterworth', ' Una Merkel', ' Nat Pendleton']"
Bad Boy,"['James Dunn', ' Dorothy Wilson']"
Bar 20 Rides Again,"['William Boyd', ' Jean Rouverol']"
Barbary Coast,"['Edward G. Robinson', ' Miriam Hopkins', ' Joel McCrea']"
Becky Sharp,"['Miriam Hopkins', ' Cedric Hardwicke', ' Frances Dee']"
Behind the Evidence,"['Norman Foster', ' Sheila Bromley']"
Behind the Green Lights,"['Norman Foster', ' Judith Allen']"
The Best Man Wins,"['Edmund Lowe', ' Jack Holt', ' Bela Lugosi']"
The Big Broadcast of 1936,"['George Burns', ' Gracie Allen', ' Ethel Merman']"
Biography of a Bachelor Girl,"['Ann Harding', ' Robert Montgomery', ' Edward Arnold']"
The Bishop Misbehaves,"['Edmund Gwenn', "" Maureen O'Sullivan""]"
Black Fury,"['Paul Muni', ' Karen Morley', ' Barton MacLane']"
The Black Room,['Boris Karloff']
Black Sheep,"['Edmund Lowe', ' Claire Trevor']"
Bonnie Scotland,"['Stan Laurel', ' Oliver Hardy', ' June Lang']"
Bordertown,"['Paul Muni', ' Bette Davis', ' Margaret Lindsay']"
Border Brigands,"['Buck Jones', ' Lona Andre']"
Born to Battle,"['Tom Tyler', ' Jean Carmen']"
Born to Gamble,"['Onslow Stevens', ' H. B. Warner', ' Maxine Doyle']"
Break of Hearts,"['Katharine Hepburn', ' Charles Boyer']"
The Bride Comes Home,"['Claudette Colbert', ' Fred MacMurray', ' Robert Young']"
Bride of Frankenstein,"['Boris Karloff', ' Elsa Lanchester', ' Colin Clive']"
Bright Lights,"['Joe E. Brown', ' Ann Dvorak', ' Patricia Ellis']"
Broadway Gondolier,"['Dick Powell', ' Joan Blondell', ' Adolphe Menjou']"
Broadway Hostess,"['Winifred Shaw', ' Genevieve Tobin', ' Lyle Talbot']"
Broadway Melody of 1936,"['Eleanor Powell', ' Robert Taylor', ' Jack Benny']"
The Call of the Wild,"['Clark Gable', ' Loretta Young', ' Jack Oakie']"
Calling All Cars,"['Jack La Rue', ' Lillian Miles']"
The Calling of Dan Matthews,"['Richard Arlen', ' Charlotte Wynters', ' Donald Cook']"
Calm Yourself,"['Robert Young', ' Madge Evans']"
Cappy Ricks Returns,"['Robert McWade', ' Ray Walker']"
Captain Blood,"['Errol Flynn', ' Olivia de Havilland', ' Lionel Atwill']"
Captain Hurricane,"['James Barton', ' Helen Westley', ' Gene Lockhart']"
Car 99,"['Fred MacMurray', ' Ann Sheridan', ' Guy Standing']"
Cardinal Richelieu,"['George Arliss', "" Maureen O'Sullivan"", ' Cesar Romero']"
Carnival,"['Jimmy Durante', ' Lee Tracy', ' Sally Eilers']"
The Case of the Curious Bride,"['Warren William', ' Claire Dodd', ' Allen Jenkins']"
The Case of the Lucky Legs,"['Warren William', ' Genevieve Tobin', ' Patricia Ellis']"
Case of the Missing Man,"['Roger Pryor', ' Joan Perry']"
The Casino Murder Case,"['Paul Lukas', ' Alison Skipworth', ' Rosalind Russell']"
Champagne for Breakfast,"['Mary Carlisle', ' Hardie Albright']"
Charlie Chan in Egypt,"['Warner Oland', ' Rita Hayworth', ' Pat Paterson']"
Charlie Chan in Paris,"['Warner Oland', ' Mary Brian']"
Charlie Chan in Shanghai,"['Warner Oland', ' Irene Hervey', ' Jon Hall']"
Chasing Yesterday,"['Anne Shirley', ' O. P. Heggie', ' Helen Westley']"
Cheers of the Crowd,"['Russell Hopton', ' Irene Ware']"
China Seas,"['Clark Gable', ' Jean Harlow', ' Wallace Beery']"
Chinatown Squad,"['Lyle Talbot', ' Valerie Hobson']"
Circumstantial Evidence,"['Chick Chandler', ' Shirley Grey', ' Claude King']"
Clive of India,"['Ronald Colman', ' Loretta Young', ' Colin Clive']"
College Scandal,"['Arline Judge', ' Kent Taylor', ' Wendy Barrie']"
Collegiate,"['Jack Oakie', ' Frances Langford', ' Betty Grable']"
Condemned to Live,"['Ralph Morgan', ' Maxine Doyle', ' Russell Gleason']"
Confidential,"['Donald Cook', ' Evalyn Knapp']"
Convention Girl,"['Rose Hobart', ' Weldon Heyburn']"
Coronado,"['Alice White', ' Johnny Downs', ' Eddy Duchin']"
The County Chairman,"['Will Rogers', ' Evelyn Venable']"
The Cowboy Millionaire,"[""George O'Brien"", ' Edgar Kennedy']"
Crime and Punishment,"['Peter Lorre', ' Edward Arnold', ' Marian Marsh']"
The Crime of Dr. Crespi,"['Erich von Stroheim', ' Dwight Frye']"
The Crimson Trail,"['Buck Jones', ' Polly Ann Young', ' Ward Bond']"
The Crusades,"['Loretta Young', ' Henry Wilcoxon', ' C. Aubrey Smith']"
Curly Top,"['Shirley Temple', ' John Boles', ' Rochelle Hudson']"
Danger Ahead,"['Lawrence Gray', ' Fuzzy Knight', ' Sheila Bromley']"
Dangerous,"['Bette Davis', ' Franchot Tone', ' Alison Skipworth']"
Dante's Inferno,"['Spencer Tracy', ' Henry B. Walthall', ' Rita Hayworth']"
The Daring Young Man,"['James Dunn', ' Mae Clarke', ' Neil Hamilton']"
The Dark Angel,"['Merle Oberon', ' Fredric March', ' Herbert Marshall']"
David Copperfield,"['Frank Lawton', ' Roland Young', "" Maureen O'Sullivan""]"
The Dawn Rider,"['John Wayne', ' Marion Burns']"
Death Flies East,"['Conrad Nagel', ' Florence Rice']"
Death from a Distance,"['Russell Hopton', ' Lola Lane']"
The Desert Trail,"['John Wayne', ' Mary Kornman']"
Devil Dogs of the Air,"['James Cagney', "" Pat O'Brien"", ' Margaret Lindsay']"
The Devil is a Woman,"['Marlene Dietrich', ' Lionel Atwill', ' Cesar Romero']"
Diamond Jim,"['Edward Arnold', ' Jean Arthur', ' Binnie Barnes']"
Dinky,"['Jackie Cooper', ' Mary Astor']"
Dizzy Dames,"['Marjorie Rambeau', ' Florine McKinney']"
A Dog of Flanders,"['Frankie Thomas', ' O. P. Heggie', ' Helen Parrish']"
Don't Bet on Blondes,"['Warren William', ' Claire Dodd']"
Doubting Thomas,"['Will Rogers', ' Billie Burke', ' Alison Skipworth']"
Dr. Socrates,"['Paul Muni', ' Ann Dvorak']"
Dressed to Thrill,"['Tutta Rolf', ' Clive Brook']"
