$10 Raise,"['Edward Everett Horton', ' Karen Morley']",['Comedy']
"1,000 Dollars a Minute","['Leila Hyams', ' Edward Brophy']",['Comedy']
Accent on Youth,"['Sylvia Sidney', ' Herbert Marshall']",['Comedy']
The Affair of Susan,"['ZaSu Pitts', "" Hugh O'Connell""]",['Comedy']
After Office Hours,"['Constance Bennett', ' Clark Gable', ' Billie Burke']","['Drama', ' Crime']"
After the Dance,"['Nancy Carroll', ' George Murphy', ' Thelma Todd']",['Drama']
Age of Indiscretion,"['Paul Lukas', ' Madge Evans', ' Helen Vinson']",['Drama']
"Ah, Wilderness!","['Wallace Beery', ' Lionel Barrymore', ' Mickey Rooney']","['Comedy', ' Drama']"
Air Hawks,"['Ralph Bellamy', ' Tala Birell', ' Douglass Dumbrille']","['Drama', ' Action']"
Alias Mary Dow,"['Sally Eilers', ' Ray Milland']",['Drama']
Alibi Ike,"['Joe E. Brown', ' Olivia de Havilland']",['Comedy']
Alice Adams,"['Katharine Hepburn', ' Fred MacMurray', ' Evelyn Venable']","['Drama', ' Romance']"
All the King's Horses,"['Carl Brisson', ' Mary Ellis', ' Edward Everett Horton']",['Comedy']
Anna Karenina,"['Greta Garbo', ' Fredric March', "" Maureen O'Sullivan""]",['Drama']
Annapolis Farewell,"['Guy Standing', ' Richard Cromwell']",['Drama']
Annie Oakley,"['Barbara Stanwyck', ' Melvyn Douglas', ' Preston Foster']","['Drama', ' Western']"
Another Face,"['Wallace Ford', ' Brian Donlevy', ' Phyllis Brooks']",['Crime']
The Arizonian,"['Richard Dix', ' Margot Grahame', ' Preston Foster', ' Louis Calhern']",['Western']
Atlantic Adventure,"['Nancy Carroll', ' Lloyd Nolan']",['Mystery']
The Awakening of Jim Burke,"[' Jack Holt', ' Florence Rice']",['Drama']
Baby Face Harrington,"['Charles Butterworth', ' Una Merkel', ' Nat Pendleton']",['Comedy']
Bad Boy,"['James Dunn', ' Dorothy Wilson']",['Comedy']
Bar 20 Rides Again,"['William Boyd', ' Jean Rouverol']",['Western']
