year,actor,movie,winner,ethnicity
1950[1][2],Fred Astaire,Three Little Words,True,"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
1951[3][4],Danny Kaye,On the Riviera,True,"['Ashkenazi', 'Jewish']"
1951[3][4],Gene Kelly,An American in Paris,False,"['Irish25', 'German']"
1952[5][6],Donald O'Connor,Singin' in the Rain,True,"['Irish', 'English']"
1953[7][8],David Niven,The Moon Is Blue,True,"['English', 'Scottish', 'French']"
1954[9][10],James Mason,A Star Is Born,True,['English']
1955[11][12],Tom Ewell,The Seven Year Itch,True,[]
1956,Cantinflas,Around the World in 80 Days,True,[]
1956,Marlon Brando,The Teahouse of the August Moon,False,"['English', 'Irish', 'German', 'Dutch', 'French', 'Huguenot', 'Welsh', 'Scottish']"
1956,Yul Brynner,The King and I,False,"['Russian25', 'SwissGerman']"
1956,Glenn Ford,The Teahouse of the August Moon,False,"['English', 'Scottish', 'Irish', 'Dutch']"
1956,Danny Kaye,The Court Jester,False,"['Ashkenazi', 'Jewish']"
1957,Frank Sinatra,Pal Joey,True,"['Italian', 'Sicilian']"
1957,Maurice Chevalier,Love in the Afternoon,False,"['Belgian', 'Walloon', 'Belgian', 'Flemish']"
1957,Glenn Ford,Don't Go Near the Water,False,"['English', 'Scottish', 'Irish', 'Dutch']"
1957,David Niven,My Man Godfrey,False,"['English', 'Scottish', 'French']"
1957,Tony Randall,Will Success Spoil Rock Hunter?,False,[]
1958,Danny Kaye,Me and the Colonel,True,"['Ashkenazi', 'Jewish']"
1958,Maurice Chevalier,Gigi,False,"['Belgian', 'Walloon', 'Belgian', 'Flemish']"
1958,Clark Gable,Teacher's Pet,False,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1958,Cary Grant,Indiscreet,False,"['English', 'Welsh', 'Scottish']"
1958,Louis Jourdan,Gigi,False,['French']
1959,Jack Lemmon,Some Like It Hot,True,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1959,Clark Gable,But Not for Me,False,"['German', 'Irish', 'SwissGerman', 'Belgian']"
1959,Cary Grant,Operation Petticoat,False,"['English', 'Welsh', 'Scottish']"
1959,Dean Martin,Who Was That Lady?,False,"['Italian', 'Sicilian']"
1959,Sidney Poitier,Porgy and Bess,False,['AfricanBahamian']
1960,Jack Lemmon,The Apartment,True,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1960,Dirk Bogarde,Song Without End,False,[]
1960,Cantinflas,Pepe,False,[]
1960,Cary Grant,The Grass Is Greener,False,"['English', 'Welsh', 'Scottish']"
1960,Bob Hope,The Facts of Life,False,"['English', 'Welsh']"
1961,Glenn Ford,Pocketful of Miracles,True,"['English', 'Scottish', 'Irish', 'Dutch']"
1961,Fred Astaire,The Pleasure of His Company,False,"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
1961,Richard Beymer,West Side Story,False,[]
1961,Bob Hope,Bachelor in Paradise,False,"['English', 'Welsh']"
1961,Fred MacMurray,The Absent-Minded Professor,False,['German']
1962,Marcello Mastroianni,Divorce Italian Style,True,['Italian']
1962,Stephen Boyd,Billy Rose's Jumbo,False,[]
1962,Stephen Boyd,Billy Rose's Jumbo,False,[]
1962,Cary Grant,That Touch of Mink,False,"['English', 'Welsh', 'Scottish']"
1962,Charlton Heston,The Pigeon That Took Rome,False,"['English', 'Scottish', 'Cornish', 'German']"
1962,Karl Malden,Gypsy,False,['Czech']
1962,Robert Preston,The Music Man,False,[]
1962,James Stewart,Mr. Hobbs Takes a Vacation,False,"['ScotsIrishNorthern', 'Irish', 'Scottish', 'Irish', 'English']"
1963,Alberto Sordi,To Bed or Not to Bed,True,[]
1963,Albert Finney,Tom Jones,False,[]
1963,James Garner,The Wheeler Dealers,False,"['English', 'Irish', 'German', 'Welsh', 'SwissGerman']"
1963,Cary Grant,Charade,False,"['English', 'Welsh', 'Scottish']"
1963,Jack Lemmon,Irma la Douce,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1963,Jack Lemmon,Irma la Douce,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1963,Frank Sinatra,Come Blow Your Horn,False,"['Italian', 'Sicilian']"
1963,Jonathan Winters,"It's a Mad, Mad, Mad, Mad World",False,[]
1964,Rex Harrison,My Fair Lady,True,"['English', 'Scottish']"
1964,Marcello Mastroianni,Marriage Italian-Style,False,['Italian']
1964,Peter Sellers,The Pink Panther,False,"['Sephardi', 'Jewish', 'Ashkenazi', 'Jewish']"
1964,Peter Ustinov,Topkapi,False,"['Russian125', 'Ashkenazi', 'Jewish125', 'German125', 'Italian625', 'Ethiopian', 'SubSaharan', 'African', 'Portuguese625', 'French']"
1964,Dick Van Dyke,Mary Poppins,False,"['English', 'Scottish', 'German', 'SwissGerman', 'Dutch']"
1965,Lee Marvin,Cat Ballou,True,"['English', 'Irish', 'Scottish']"
1965,Jack Lemmon,The Great Race,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1965,Jerry Lewis,Boeing Boeing,False,"['Ashkenazi', 'Jewish']"
1965,Jason Robards,A Thousand Clowns,False,"['Swedish', 'English', 'Welsh', 'German', 'Irish', 'Scottish']"
1965,Alberto Sordi,Those Magnificent Men in their Flying Machines,False,[]
1966,Alan Arkin,"The Russians Are Coming, the Russians Are Coming",True,"['Ashkenazi', 'Jewish']"
1966,Alan Bates,Georgy Girl,False,[]
1966,Michael Caine,Gambit,False,"['English', 'Irish']"
1966,Lionel Jeffries,The Spy with a Cold Nose,False,[]
1966,Walter Matthau,The Fortune Cookie,False,"['Ashkenazi', 'Jewish']"
1967,Richard Harris,Camelot,True,"['Irish', 'English']"
1967,Richard Burton,The Taming of the Shrew,False,['Welsh']
1967,Rex Harrison,Doctor Dolittle,False,"['English', 'Scottish']"
1967,Dustin Hoffman,The Graduate,False,"['Ashkenazi', 'Jewish']"
1967,Ugo Tognazzi,L'immorale,False,[]
1968,Ron Moody,Oliver!,True,[]
1968,Fred Astaire,Finian's Rainbow,False,"['Ashkenazi', 'Jewish', 'Catholic', 'German', 'Alsatian']"
1968,Jack Lemmon,The Odd Couple,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1968,Jack Lemmon,The Odd Couple,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1968,Zero Mostel,The Producers,False,"['Ashkenazi', 'Jewish']"
1969,Peter O'Toole,"Goodbye, Mr. Chips",True,"['Irish', 'Scottish']"
1969,Dustin Hoffman,John and Mary,False,"['Ashkenazi', 'Jewish']"
1969,Lee Marvin,Paint Your Wagon,False,"['English', 'Irish', 'Scottish']"
1969,Steve McQueen,The Reivers,False,"['Scottish', 'English', 'ScotsIrishNorthern', 'Irish', 'German', 'Cornish', 'Dutch', 'Welsh']"
1969,Anthony Quinn,The Secret of Santa Vittoria,False,"['Irish75', 'Mexican', 'Spanish', 'Indigenous']"
1970,Albert Finney,Scrooge,True,[]
1970,Richard Benjamin,Diary of a Mad Housewife,False,[]
1970,Elliott Gould,M*A*S*H,False,"['Ashkenazi', 'Jewish']"
1970,Jack Lemmon,The Out-of-Towners,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1970,Donald Sutherland,M*A*S*H,False,"['Scottish', 'English', 'German']"
1971,Topol,Fiddler on the Roof,True,[]
1971,Bud Cort,Harold and Maude,False,[]
1971,Dean Jones,The Million Dollar Duck,False,[]
1971,Walter Matthau,Kotch,False,"['Ashkenazi', 'Jewish']"
1971,Gene Wilder,Willy Wonka & the Chocolate Factory,False,"['Ashkenazi', 'Jewish']"
1972,Jack Lemmon,Avanti!,True,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1972,Edward Albert,Butterflies Are Free,False,[]
1972,Charles Grodin,The Heartbreak Kid,False,"['Ashkenazi', 'Jewish']"
1972,Walter Matthau,Pete 'n' Tillie,False,"['Ashkenazi', 'Jewish']"
1972,Peter O'Toole,Man of La Mancha,False,"['Irish', 'Scottish']"
1973,George Segal,A Touch of Class,True,"['Ashkenazi', 'Jewish']"
1973,Carl Anderson,Jesus Christ Superstar,False,[]
1973,Richard Dreyfuss,American Graffiti,False,"['Ashkenazi', 'Jewish']"
1973,Ted Neeley,Jesus Christ Superstar,False,[]
1973,Ryan O'Neal,Paper Moon,False,"['Irish', 'English25', 'Ashkenazi', 'Jewish']"
1974,Art Carney,Harry and Tonto,True,['Irish']
1974,James Earl Jones,Claudine,False,['AfricanAmerican']
1974,Jack Lemmon,The Front Page,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1974,Jack Lemmon,The Front Page,False,"['English', 'Irish', 'Scottish', 'French', 'Dutch', 'Welsh']"
1974,Burt Reynolds,The Longest Yard,False,"['English', 'ScotsIrishNorthern', 'Irish', 'Scottish', 'German', 'Dutch']"
1975,George Burns,The Sunshine Boys,True,"['Ashkenazi', 'Jewish']"
1975,George Burns,The Sunshine Boys,True,"['Ashkenazi', 'Jewish']"
1975,Warren Beatty,Shampoo,False,"['English', 'Scottish', 'Irish', 'French', 'Danish', 'Dutch']"
1975,James Caan,Funny Lady,False,"['Ashkenazi', 'Jewish']"
